instance_id,image_id,axis,source,chart_type,predicted_chart_type,score
002f2f9fe7a0_x,002f2f9fe7a0,x,generated,vertical_bar,vertical_bar,1.0
002f2f9fe7a0_y,002f2f9fe7a0,y,generated,vertical_bar,vertical_bar,0.9854155500678199
00a7fa12bca0_x,00a7fa12bca0,x,generated,vertical_bar,vertical_bar,1.0
00a7fa12bca0_y,00a7fa12bca0,y,generated,vertical_bar,vertical_bar,0.9691588021680413
028eec92cadb_x,028eec92cadb,x,generated,line,line,0.8323664722057973
028eec92cadb_y,028eec92cadb,y,generated,line,line,0.9702106063262614
02c61caf92a8_x,02c61caf92a8,x,generated,vertical_bar,vertical_bar,1.0
02c61caf92a8_y,02c61caf92a8,y,generated,vertical_bar,vertical_bar,0.9725930910304275
02f07afb052f_x,02f07afb052f,x,generated,line,line,1.0
02f07afb052f_y,02f07afb052f,y,generated,line,line,0.9803198213284143
0358d08e8769_x,0358d08e8769,x,generated,vertical_bar,vertical_bar,1.0
0358d08e8769_y,0358d08e8769,y,generated,vertical_bar,vertical_bar,0.9748856016397256
042a6807e8da_x,042a6807e8da,x,generated,dot,dot,0.5765215066107572
042a6807e8da_y,042a6807e8da,y,generated,dot,dot,1.0
051a935072eb_x,051a935072eb,x,generated,line,line,1.0
051a935072eb_y,051a935072eb,y,generated,line,line,0.9447617271390356
052c0bd925ce_x,052c0bd925ce,x,generated,vertical_bar,vertical_bar,1.0
052c0bd925ce_y,052c0bd925ce,y,generated,vertical_bar,vertical_bar,0.982512300743811
063765f543e6_x,063765f543e6,x,generated,scatter,scatter,0.9803755622623247
063765f543e6_y,063765f543e6,y,generated,scatter,scatter,0.8517314493319836
073044516c20_x,073044516c20,x,generated,dot,dot,0.5544240267375509
073044516c20_y,073044516c20,y,generated,dot,dot,1.0
07381f2d6d42_x,07381f2d6d42,x,generated,line,line,1.0
07381f2d6d42_y,07381f2d6d42,y,generated,line,line,0.9245211587954281
077fcbd76989_x,077fcbd76989,x,generated,scatter,scatter,0.9894315058875478
077fcbd76989_y,077fcbd76989,y,generated,scatter,scatter,0.9702218348548239
07d58107d9b4_x,07d58107d9b4,x,generated,line,line,1.0
07d58107d9b4_y,07d58107d9b4,y,generated,line,line,0.9760196315061307
08b204b0498c_x,08b204b0498c,x,generated,line,line,1.0
08b204b0498c_y,08b204b0498c,y,generated,line,line,0.9757661525523129
09bb1d774a22_x,09bb1d774a22,x,generated,scatter,scatter,0.9925301849539474
09bb1d774a22_y,09bb1d774a22,y,generated,scatter,scatter,0.9910885616035205
09bbe8e4354c_x,09bbe8e4354c,x,generated,line,line,0.9941861120186011
09bbe8e4354c_y,09bbe8e4354c,y,generated,line,line,0.9628992685618973
0c28f78f2a1e_x,0c28f78f2a1e,x,generated,scatter,scatter,0.9900054169876837
0c28f78f2a1e_y,0c28f78f2a1e,y,generated,scatter,scatter,0.9732499600527611
0c846d1241dd_x,0c846d1241dd,x,generated,dot,dot,1.0
0c846d1241dd_y,0c846d1241dd,y,generated,dot,dot,1.0
0d47e6609ace_x,0d47e6609ace,x,generated,scatter,scatter,0.8988219988542021
0d47e6609ace_y,0d47e6609ace,y,generated,scatter,scatter,0.0
0d9118ad88d4_x,0d9118ad88d4,x,generated,line,line,1.0
0d9118ad88d4_y,0d9118ad88d4,y,generated,line,line,0.95239338844505
0dfba7af983a_x,0dfba7af983a,x,generated,line,line,1.0
0dfba7af983a_y,0dfba7af983a,y,generated,line,line,0.9686192862980985
0f66a4423841_x,0f66a4423841,x,generated,vertical_bar,vertical_bar,0.9917357253429189
0f66a4423841_y,0f66a4423841,y,generated,vertical_bar,vertical_bar,0.6099693580275938
10d8f0af79b4_x,10d8f0af79b4,x,generated,line,line,1.0
10d8f0af79b4_y,10d8f0af79b4,y,generated,line,line,0.9439377258750936
